"","(Intercept)"
"Line1",1.60577989780834
"Line10",0.340750312986646
"Line11",-0.222673301101701
"Line12",-2.51793864667572
"Line13",2.0832449280746
"Line14",2.51285146318803
"Line15",2.41318696091076
"Line16",0.325829388719468
"Line17",-1.24700956275815
"Line18",-3.49960973114112
"Line19",-1.3376923310114
"Line2",2.91817428628418
"Line20",1.58676832555916
"Line21",0.365932672787221
"Line22",2.81796932610248
"Line23",-4.1415949195976
"Line24",-2.41160029344443
"Line25",2.3700622729566
"Line26",0.338699561978959
"Line27",0.0650317064483575
"Line28",-2.48120089942154
"Line29",-0.670405694848468
"Line3",0.0777593059936501
"Line30",3.2335431343406
"Line31",-0.836349014647202
"Line32",-0.912621852038845
"Line33",-5.32412768598933
"Line34",2.80587946305137
"Line35",-2.83329710219756
"Line36",-3.29570823058168
"Line37",4.54833345676253
"Line38",-0.0407714845872613
"Line39",-0.0840687938430101
"Line4",-1.45885108903303
"Line40",1.20410286281916
"Line41",-1.79263970077813
"Line42",0.749657652441801
"Line43",-2.39545402190756
"Line44",-1.88969118663538
"Line45",-1.28242688361653
"Line46",5.19316551129603
"Line47",-1.50710282491271
"Line48",-3.86022276880778
"Line49",-2.97450834886136
"Line5",-1.85117532742471
"Line50",0.125254683944093
"Line51",-0.333240806614142
"Line52",5.75339717581047
"Line53",4.86573263507477
"Line54",-2.74301914784684
"Line55",0.125683474534205
"Line56",0.999478867305257
"Line57",0.628926541885672
"Line58",0.957191345655303
"Line59",0.2678950162144
"Line6",-0.393502405809693
"Line60",0.451283515269986
"Line61",0.260160037846461
"Line62",-3.47476242933224
"Line63",1.08697075362408
"Line64",1.28236294475005
"Line65",1.06351611970578
"Line66",-0.436147465093052
"Line67",-0.843771872547883
"Line68",1.67988931251937
"Line69",2.89737540555328
"Line7",-0.426754128028062
"Line70",4.28647024408161
"Line71",-1.59279273016508
"Line72",4.91270578770912
"Line73",2.39276260738356
"Line74",-2.60193970764925
"Line75",1.59004253083323
"Line76",-3.56268815334623
"Line77",-2.12914102531606
"Line78",-2.65052520561787
"Line79",1.28855147175068
"Line8",0.0551813622844199
"Line80",-0.990833086525763
"Line9",-1.47969446438472
