DH.WW015,DH.WW016,DH.WS015,DH.WS016
63.99,159.5,56.54,165.5
62.6,153.5,72.57,156.5
64.2,156.5,60.69,159.5
71.73,157,58.35,168
67.76,168,62.33,160.5
72.15,160,76.67,157.5
67.9,162,64.49,178
67.32,158,58.84,163
76.48,152,96.25,153
55.29,153,65.67,155.5
70.89,157,64.38,158.5
67.34,168,60.8,160.5
96.2,154,73.5,154
66.98,156,54.38,157
66.78,157,67.98,158
91.05,158,56.46,159.5
67.16,147,68.99,155.5
70.26,165.5,74.61,155.5
69.29,161,60.77,155
78.47,171,68.75,166.5
64.2,146,71.09,161
68.35,156,79.22,154
69.96,177,64.26,161
65.93,162,62.63,158.5
66.27,161.5,53.58,166
75.43,156.5,64.48,159.5
66.74,152.5,60.9,157
71.79,156,61.69,159
70.83,152.5,94.96,155
66.73,157.5,63.62,159.5
70.88,169.5,65.48,164
70.37,166.5,65.19,160.5
70.55,177,91.3,163
